Avg. Change in Pop.,Avg. Change in Internet Use,Avg. Change in Hom. Count,Avg. Change in Hom. Rate
210,3.71632566,4,7
215,8.69065214,-5,-8.9
141,10.3794708,-7,-12.4
162,1.56475493,6,10.5
57,1.60438974,-1,-1.8
-160,1.65828277,0,0
-127,1.70831273,-8,-14
-227,0.88,4.5,7.85
1532,9.26710049,6,3.8
724,5.81206673,-6,-3.9
518,2.52438753,6,3.7
445,2.44510605,1,0.5
374,2.39808972,-2,-1.2
313,5.29156544,4,2.2
256,2.29903062,-10,-5.8
59302,0.154530813,16.66666667,-0.533333333
289240,0.126062501,-655,-6.7
296965,0.11967996,249,1.6
293074,1.025868877,326,2.3
255342.25,0.990449555,527,3.475
332377.2,0.96,124.4,-0.12
-35618,0.291753482,-25,-0.3
-38471,0.973210336,18,0.2
-41326,1.952193406,0,0
-46067,1.963197471,-36,-0.3
-43285,1.141835602,-48,-0.5
174093,7.528877949,49,0.5
-28968,2.1414457,-51,-0.5
-29055.5,4.96,33,0.3
-22406.5,6.11,-27,-0.2
-20080.5,11.23,-45,-0.5
-15695.5,8.09,10,0.1
-15590,6.24,-20,-0.2
-17591.5,7.7,-8,0
-7213,1,-7,-0.1
-8325.5,3,-6,-0.1
3972,3.17596711,3,1.1
3814,4.92246155,-4,-1.4
2555,29.72700463,3,1
1749,4.02,-4,-1.4
2801.5,0.74,3,1
3790.5,3.12,0,0
8470,2.51,-3,-1
7062,1.09,2,0.7
7959,0.4,-2,-0.7
13,2,1,0.3
43856,1.090915504,-1,0
48182,1.888953238,-4,-0.2
30609,4.007754973,0,0
39780,2.837798547,0,0
42273,6.91665865,-1,0
76087,5.28834495,15,0.3
54185,2.71118781,0,0
63942.5,8.46,-7,-0.2
48064.5,2.68,-15,-0.4
86959,4.62,22,0.6
109126,13.21,10,0.2
122059,6.33832455,15,0.3
117647,4.18167545,-27,-0.7
1177,2.04,6,0.2
28106,2.47,-2,-0.1
144000,1.23794463,5,0
140000,2.231037882,39,0.7
